id,name,description,url,stars,forks,language,topics,created_at,first_seen,is_active,domains
1186851587,ByamB4/find-cve-agent,"CVE hunting harness for Claude Code - 20 skills, 5-agent team, systematic vulnerability research with false positive elimination",https://github.com/ByamB4/find-cve-agent,5,1,JavaScript,"ai-agent,bug-bounty,claude-code,claude-code-plugin,cve,cve-hunting,false-positive,offensive-security,penetration-testing,responsible-disclosure,security-automation,security-research,security-tools,semgrep,vulnerability-detection",2026-03-20T03:53:20Z,2026-03-20,True,AI Agent
1186863115,wearethecompute/openfused,"Decentralized context mesh for AI agents. Persistent memory, signed messaging, FUSE filesystem. The protocol is files.",https://github.com/wearethecompute/openfused,2,0,Rust,"agent,ai,ai-agent,context,decentralized,ed25519,fuse,llm,mcp,mesh,openclaw,rust",2026-03-20T04:17:17Z,2026-03-20,True,AI Agent
1186814014,HumanStudy-Hub/HumanStudy-Bench,HumanStudy-Bench: Community Edition — Standardized human study replays for AI agent evaluation,https://github.com/HumanStudy-Hub/HumanStudy-Bench,2,0,Python,"agent-design,ai-agent,ai-for-science,human-computer-interaction,llm-agent,llm-evaluation,social-sciences,social-simulation",2026-03-20T02:37:33Z,2026-03-20,True,AI Agent
1186773040,joshchaotang/google-mcp-autopilot,複製一段話給 Claude Code，7 分鐘自動部署 Google Workspace MCP,https://github.com/joshchaotang/google-mcp-autopilot,1,0,,"ai-agent,automation,claude-code,google-workspace,mcp,one-click",2026-03-20T01:16:05Z,2026-03-20,True,AI Agent
1186792244,skillspath/skillspath.github.io,AI-powered career roadmap advisor connecting Canvas academic history to personalized IBM SkillsBuild learning paths,https://github.com/skillspath/skillspath.github.io,0,1,HTML,"ai-agent,canvas-lms,career-advisor,chrome-extension,education-technology,github-models,hackathon,ibm-skillsbuild",2026-03-20T01:54:20Z,2026-03-20,True,AI Agent
1186789900,ChiShengChen/shikigami,"⛩ 式神召喚術 — Claude Code Skill for generating high-quality agent prompts. Summon shikigami with Shinto-inspired multi-agent workflows, formations, ofuda modules, and taboo systems.",https://github.com/ChiShengChen/shikigami,0,0,Shell,"agent-prompt,agentic-workflow,ai-agent,anthropic,claude,claude-code,claude-code-skill,multi-agent,prompt-engineering,shikigami",2026-03-20T01:49:53Z,2026-03-20,True,AI Agent
1186761148,ItsNishi/Mycelium,"Structured, typed, cross-platform access to kernel-level OS information via MCP -- built for AI agents, security research, and reverse engineering",https://github.com/ItsNishi/Mycelium,0,0,Rust,"ai-agent,cross-platform,cybersecurity,ebpf,hacking,kernel,linux,mcp,mit-license,offensive-security,osint,pentesting,reverse-engineering,rust,security-tools,systems-programming,windows",2026-03-20T00:51:48Z,2026-03-20,True,AI Agent
1186769546,MarketingBoer/openclaw-digital-office,"Free WhatsApp read-only via official Meta API (ChakraHQ) + complete digital office setup for OpenClaw. Docker, multi-agent, security hardening, budget governance. Production-tested.",https://github.com/MarketingBoer/openclaw-digital-office,0,0,,"ai-agent,automation,chakrahq,chatbot,claude,digital-office,docker,meta-api,multi-agent,openclaw,security,self-hosted,skills,whatsapp",2026-03-20T01:09:04Z,2026-03-20,True,AI Agent
1186828771,christiankoertel-sketch/adam-skills,"Open-source Claude Code skills for building AI chatbots, assessing business readiness, and running autonomous agents",https://github.com/christiankoertel-sketch/adam-skills,0,0,,"ai-agent,autonomous-agent,chatbot,claude-code,rag,skills",2026-03-20T03:07:18Z,2026-03-20,True,AI Agent
1186752491,ByteEmpire/code-review-agent,"AI-powered GitHub PR reviewer using LangGraph agents, Ollama LLM, FastAPI, and React. Posts inline review comments automatically when a PR is opened.",https://github.com/ByteEmpire/code-review-agent,0,0,JavaScript,"ai-agent,celery,code-review,docker,fastapi,langchain,langgraph,llm,ollama,postgresql,python,react,redis,webhooks",2026-03-20T00:33:45Z,2026-03-20,True,AI Agent
1186859562,caoergou/je,"A dual-interface JSON editor for humans and AI agents — TUI for humans, path-based CLI for agents",https://github.com/caoergou/je,0,0,Rust,"ai-agent,cli,editor,json,ratatui,rust,tui",2026-03-20T04:09:40Z,2026-03-20,True,AI Agent
1186901871,sathiya-22/self-correcting-rag,"A LangGraph-powered Self-Correcting RAG system with Gemini, Tavily, and Streamlit. Features multi-query retrieval, batch grading, and conversational memory.",https://github.com/sathiya-22/self-correcting-rag,0,0,Python,"ai-agent,gemini,langgraph,rag,streamlit",2026-03-20T05:36:23Z,2026-03-20,True,AI Agent
1186897751,adkit-so/skills,"Agent skills for advertising strategy — Meta Ads, Google Ads, LinkedIn Ads, TikTok Ads",https://github.com/adkit-so/skills,0,0,,"ad-strategy,adkit,advertising,agent-skills,ai-agent,claude-code,claude-code-skill,facebook-ads,google-ads,linkedin-ads,meta-ads,openclaw",2026-03-20T05:28:46Z,2026-03-20,True,AI Agent
1186808819,JaredCluff/knowledge-nexus-local,"Knowledge Nexus System Agent — K2K federation, local file indexing, and semantic search",https://github.com/JaredCluff/knowledge-nexus-local,0,0,Rust,"ai-agent,federation,k2k,onnx,rust,semantic-search",2026-03-20T02:27:13Z,2026-03-20,True,AI Agent
1186898051,yangyuqing15715165798/drawio-skill,A Codex skill for creating and editing draw.io diagrams through a configured drawio MCP server. 通过已配置的 drawio MCP server 创建和编辑 draw.io 图表的 Codex Skill。,https://github.com/yangyuqing15715165798/drawio-skill,0,0,,"ai-agent,codex-skill,diagram,drawio,mcp,openai-codex",2026-03-20T05:29:19Z,2026-03-20,True,AI Agent
1186854662,ChiShengChen/dao-agent,道法符籙 ── 以道教科儀之法為 Claude Code 生成 agent prompt | Daoist Talismans: Generate structured agent prompts for Claude Code using Daoist ritual metaphors,https://github.com/ChiShengChen/dao-agent,0,0,Shell,"agent,ai-agent,claude,claude-code,claude-code-skill,daoist,multi-agent,prompt-engineering",2026-03-20T03:59:56Z,2026-03-20,True,AI Agent
1186808809,JaredCluff/nexibot,Your local AI agent. Private. Powerful. Yours.,https://github.com/JaredCluff/nexibot,0,0,Rust,"ai-agent,desktop-app,onnx,rust,tauri,voice-assistant",2026-03-20T02:27:12Z,2026-03-20,True,AI Agent
1186843616,currenjin/oh-my-cowork,,https://github.com/currenjin/oh-my-cowork,0,0,JavaScript,"agentic-coding,ai,ai-agent,automation,claude,claude-code,claude-cowork,oh-my-cowork,openclaw",2026-03-20T03:37:43Z,2026-03-20,True,AI Agent
1186867188,kagura-agent/openclaw-teleport,"Teleport your OpenClaw agent to a new machine — pack identity, memory, and tools into one file, beam to a new home",https://github.com/kagura-agent/openclaw-teleport,0,0,TypeScript,"ai-agent,kagura-project,migration,openclaw",2026-03-20T04:25:51Z,2026-03-20,True,AI Agent
1186781524,kagura-agent/field-notes,"What I learned from every project I touched — architecture, patterns, pitfalls, and insights",https://github.com/kagura-agent/field-notes,0,0,,"ai-agent,kagura-project,knowledge",2026-03-20T01:32:58Z,2026-03-20,True,AI Agent
1186915042,HugoFernandoColmenares/tui-llm-agent,A lightweight Terminal User Interface (TUI) agent built with Python. It leverages LM Studio to run local Large Language Models (LLMs) and includes a specialized module to execute Python code snippets directly from the chat.,https://github.com/HugoFernandoColmenares/tui-llm-agent,0,0,Python,,2026-03-20T06:01:05Z,2026-03-20,True,AI Agent
1186840083,glaciapag/STAT299-LLMXAI-AGENTIC,,https://github.com/glaciapag/STAT299-LLMXAI-AGENTIC,0,0,Python,,2026-03-20T03:30:06Z,2026-03-20,True,AI Agent
1186762926,Debjit28/claude_llm_agent_in_python,,https://github.com/Debjit28/claude_llm_agent_in_python,0,0,Python,,2026-03-20T00:55:18Z,2026-03-20,True,AI Agent
1186756937,Zhangisgood/INFO7375-LLM-Agents-Deep-Q-Learning-with-Atari-Games,,https://github.com/Zhangisgood/INFO7375-LLM-Agents-Deep-Q-Learning-with-Atari-Games,0,0,Jupyter Notebook,,2026-03-20T00:43:00Z,2026-03-20,True,AI Agent
1186800806,virbahu/chatgpt-supply-chain-agent,LLM agent framework for supply chain decision support and automation,https://github.com/virbahu/chatgpt-supply-chain-agent,0,0,Python,,2026-03-20T02:11:32Z,2026-03-20,True,AI Agent
1186788270,yunfeixie233/interactive-reasoning-parallel-exploration,Adapting LLM Agents to Interactive Reasoning through Parallel Exploration - Project Website,https://github.com/yunfeixie233/interactive-reasoning-parallel-exploration,0,0,HTML,,2026-03-20T01:46:25Z,2026-03-20,True,AI Agent
1186771853,senzi/tarot-agent-cli,A structured Tarot card engine and CLI tool designed for LLM Agent integration and automated divination.,https://github.com/senzi/tarot-agent-cli,0,0,Python,,2026-03-20T01:13:46Z,2026-03-20,True,AI Agent
1186893422,akshaysaini01/AgenticAI,,https://github.com/akshaysaini01/AgenticAI,0,0,Python,,2026-03-20T05:20:38Z,2026-03-20,True,AI Agent
1186854770,antonioqi/AgenticAI,Agentic AI Foundations,https://github.com/antonioqi/AgenticAI,0,0,HTML,,2026-03-20T04:00:07Z,2026-03-20,True,AI Agent
1186853910,rkuo2000/AgenticCoding,,https://github.com/rkuo2000/AgenticCoding,0,0,MATLAB,,2026-03-20T03:58:21Z,2026-03-20,True,AI Agent
1186799047,ambidextrousTx/AgenticSummarizr,A multi-agent system that monitors a local directory for raw data and produces summaries and maps from it,https://github.com/ambidextrousTx/AgenticSummarizr,0,0,,,2026-03-20T02:08:01Z,2026-03-20,True,AI Agent
1186796091,BizProMarketing/AgenticMarketingManagement-,This is a marketing software which is made to do wonders for you and your company ,https://github.com/BizProMarketing/AgenticMarketingManagement-,0,0,TypeScript,,2026-03-20T02:02:00Z,2026-03-20,True,AI Agent
1186879656,AgenticB2B/web-agenticb2b,AgenticB2B - Agentic Intelligence for Indian MSMEs,https://github.com/AgenticB2B/web-agenticb2b,0,0,HTML,,2026-03-20T04:52:41Z,2026-03-20,True,AI Agent
1186874253,pragyanaischool/PragyanAI_Syllabus_AgenticAI,,https://github.com/pragyanaischool/PragyanAI_Syllabus_AgenticAI,0,0,Python,,2026-03-20T04:41:21Z,2026-03-20,True,AI Agent
1186843732,klouisse/agenticai,,https://github.com/klouisse/agenticai,0,0,Python,,2026-03-20T03:37:56Z,2026-03-20,True,AI Agent
1186798768,cherubini-sam/agenticssdlc,,https://github.com/cherubini-sam/agenticssdlc,0,0,,,2026-03-20T02:07:26Z,2026-03-20,True,AI Agent
1186768187,Dallionking/agent-dna-auditor,"Scan your AI coding agents, classify ideology vs framework skills, embed DNA directly into agent definitions",https://github.com/Dallionking/agent-dna-auditor,5,0,,,2026-03-20T01:06:27Z,2026-03-20,True,AI Agent
1186930595,nikkofu/agentic-router,,https://github.com/nikkofu/agentic-router,0,0,,,2026-03-20T06:28:47Z,2026-03-20,True,AI Agent
1186750412,naseebafaiza/agentic-yogi,Your favorite yoga instructor.,https://github.com/naseebafaiza/agentic-yogi,0,0,,,2026-03-20T00:29:13Z,2026-03-20,True,AI Agent
1186825157,nikkofu/agentic-bi, Agentic BI platform prototype for ERP decision intelligence.,https://github.com/nikkofu/agentic-bi,0,0,,,2026-03-20T03:00:02Z,2026-03-20,True,AI Agent
1186889431,June-thousand/Agentic-AI,,https://github.com/June-thousand/Agentic-AI,0,0,,,2026-03-20T05:12:43Z,2026-03-20,True,AI Agent
1186895598,kathale-snehal/Agentic_Ai,,https://github.com/kathale-snehal/Agentic_Ai,0,0,Python,,2026-03-20T05:24:47Z,2026-03-20,True,AI Agent
1186876966,SimaHamedifar/Agentic_FDIAD,,https://github.com/SimaHamedifar/Agentic_FDIAD,0,0,Python,,2026-03-20T04:47:00Z,2026-03-20,True,AI Agent
1186927703,srinivas-dheekonda/agentic-ADP,,https://github.com/srinivas-dheekonda/agentic-ADP,0,0,,,2026-03-20T06:23:47Z,2026-03-20,True,AI Agent
1186882743,mattwng/agentic-compliance,,https://github.com/mattwng/agentic-compliance,0,0,TypeScript,,2026-03-20T04:59:02Z,2026-03-20,True,AI Agent
1186837098,senecker/agentic-outbound,agentic outbound - hackathon 2026 tulum,https://github.com/senecker/agentic-outbound,0,0,HTML,,2026-03-20T03:24:00Z,2026-03-20,True,AI Agent
1186879544,jessayyyy/agentichire-mvp,hiring assessment platform,https://github.com/jessayyyy/agentichire-mvp,0,0,JavaScript,,2026-03-20T04:52:27Z,2026-03-20,True,AI Agent
1186931139,SRP009896/Agentic-Client,,https://github.com/SRP009896/Agentic-Client,0,0,,,2026-03-20T06:29:39Z,2026-03-20,True,AI Agent
1186767278,lekside-mgw/agentic-payments,"A simple experiment:  “What if a user sets intent, and the system executes automatically?”",https://github.com/lekside-mgw/agentic-payments,0,0,Solidity,,2026-03-20T01:04:36Z,2026-03-20,True,AI Agent
1186787704,sbdeals/Forge-Agentic-Engineering,"Open Source Replit, Railway powered by Claude Code",https://github.com/sbdeals/Forge-Agentic-Engineering,0,0,TypeScript,,2026-03-20T01:45:16Z,2026-03-20,True,AI Agent
1186798940,virbahu/agentic-procurement-bot,Agentic procurement bot with autonomous sourcing decisions,https://github.com/virbahu/agentic-procurement-bot,0,0,Python,,2026-03-20T02:07:48Z,2026-03-20,True,AI Agent
1186927852,emmanuelknafo/agentic-accelerator-workshop,,https://github.com/emmanuelknafo/agentic-accelerator-workshop,0,0,TypeScript,,2026-03-20T06:24:06Z,2026-03-20,True,AI Agent
1186849459,yumikohey/agentic-design-development,,https://github.com/yumikohey/agentic-design-development,0,0,HTML,,2026-03-20T03:49:03Z,2026-03-20,True,AI Agent
1186845070,zephyr71/agentic_ai_reasoning,,https://github.com/zephyr71/agentic_ai_reasoning,0,0,HTML,,2026-03-20T03:40:42Z,2026-03-20,True,AI Agent
1186798826,virbahu/agentic-freight-broker,Agentic AI freight brokerage with autonomous carrier matching,https://github.com/virbahu/agentic-freight-broker,0,0,Python,,2026-03-20T02:07:34Z,2026-03-20,True,AI Agent
1186830749,amruta33/Agentic-Ai-projects,,https://github.com/amruta33/Agentic-Ai-projects,0,0,Jupyter Notebook,,2026-03-20T03:10:58Z,2026-03-20,True,AI Agent
1186912310,huqianghui/Agentic-InfraOps,配置驱动、AI Agent辅助的GPU推理平台 — 将模型从Azure ML部署到AKS,https://github.com/huqianghui/Agentic-InfraOps,0,0,Jinja,,2026-03-20T05:55:56Z,2026-03-20,True,AI Agent
1186820587,goyalanand1992/learning-agentic-systems,,https://github.com/goyalanand1992/learning-agentic-systems,0,0,,,2026-03-20T02:50:25Z,2026-03-20,True,AI Agent
1186798988,virbahu/agentic-supply-planner,Agentic AI supply planning with autonomous decision-making loops,https://github.com/virbahu/agentic-supply-planner,0,0,Python,,2026-03-20T02:07:55Z,2026-03-20,True,AI Agent
1186809385,wolfy-13/agentic-finance-advisor,AI FINANCE,https://github.com/wolfy-13/agentic-finance-advisor,0,0,HTML,,2026-03-20T02:28:24Z,2026-03-20,True,AI Agent
1186835583,dgagengi/agentic-ai-learning,My journey with Agentic AI,https://github.com/dgagengi/agentic-ai-learning,0,0,Python,,2026-03-20T03:20:55Z,2026-03-20,True,AI Agent
1186851167,harry0515/IBM-RAG-AGENTICAI,,https://github.com/harry0515/IBM-RAG-AGENTICAI,0,0,,,2026-03-20T03:52:29Z,2026-03-20,True,AI Agent
1186782318,bobbykim89/POC-agentic-office,A POC for recreation of office in a form of game with NPCs powered by helpful AI agents.,https://github.com/bobbykim89/POC-agentic-office,0,0,,,2026-03-20T01:34:32Z,2026-03-20,True,AI Agent
1186860640,ducer37/Agentic-Chatbot-Implementation,,https://github.com/ducer37/Agentic-Chatbot-Implementation,0,0,Python,,2026-03-20T04:11:55Z,2026-03-20,True,AI Agent
1186789542,gstcomplianceindia121-a11y/Agentic-Rag-Agent,,https://github.com/gstcomplianceindia121-a11y/Agentic-Rag-Agent,0,0,Python,,2026-03-20T01:49:08Z,2026-03-20,True,AI Agent
1186798882,virbahu/agentic-inventory-system,Fully agentic inventory management system with zero-touch ops,https://github.com/virbahu/agentic-inventory-system,0,0,Python,,2026-03-20T02:07:40Z,2026-03-20,True,AI Agent
1186793038,amin3ltd/agentic-event-store,,https://github.com/amin3ltd/agentic-event-store,0,0,Python,,2026-03-20T01:55:41Z,2026-03-20,True,AI Agent
1186915027,ignaciourbina/agentic-WeekPlanner,"Local-first planning system with Flask API, React frontend, and AI chat integration",https://github.com/ignaciourbina/agentic-WeekPlanner,0,0,TypeScript,,2026-03-20T06:01:03Z,2026-03-20,True,AI Agent
1186924832,GOUTHHAMV/AI-Agentic-Summarizer,,https://github.com/GOUTHHAMV/AI-Agentic-Summarizer,0,0,,,2026-03-20T06:18:53Z,2026-03-20,True,AI Agent
1186842932,Samuel-Giftson/AliciaAgenticAi,,https://github.com/Samuel-Giftson/AliciaAgenticAi,0,0,Python,,2026-03-20T03:36:19Z,2026-03-20,True,AI Agent
1186844632,joanovallesr/agentic-pitch-pipeline,,https://github.com/joanovallesr/agentic-pitch-pipeline,0,0,Python,,2026-03-20T03:39:49Z,2026-03-20,True,AI Agent
1186870141,naimsolong/hamdan-opencode-agentic,,https://github.com/naimsolong/hamdan-opencode-agentic,0,0,TypeScript,,2026-03-20T04:32:29Z,2026-03-20,True,AI Agent
1186855670,sairepalletech/pipeline-workflow-agentic,,https://github.com/sairepalletech/pipeline-workflow-agentic,0,0,,,2026-03-20T04:01:56Z,2026-03-20,True,AI Agent
1186913465,CoboGlobal/cobo-agentic-wallet,,https://github.com/CoboGlobal/cobo-agentic-wallet,0,0,,,2026-03-20T05:58:04Z,2026-03-20,True,AI Agent
1186895588,rajrounak21/Agentic-Rag-Agent,,https://github.com/rajrounak21/Agentic-Rag-Agent,0,0,Python,,2026-03-20T05:24:46Z,2026-03-20,True,AI Agent
1186931584,Rhea-Suresh/Agentic-Finance-Manager,TY Sem VI AI Lab CA 2,https://github.com/Rhea-Suresh/Agentic-Finance-Manager,0,0,,,2026-03-20T06:30:26Z,2026-03-20,True,AI Agent
1186870356,naimsolong/hamdan-cloudflare-agentic,,https://github.com/naimsolong/hamdan-cloudflare-agentic,0,0,TypeScript,,2026-03-20T04:32:59Z,2026-03-20,True,AI Agent
1186908761,MilindSoam274-MS/agentic-ai-client-briefing-system,"Agentic AI system that generates meeting-ready client briefings by orchestrating CRM + external data using LLMs and n8n workflows | Tech: OpenAI, n8n, CRM APIs, LLM workflows",https://github.com/MilindSoam274-MS/agentic-ai-client-briefing-system,0,0,HTML,"agentic-ai,ai-systems,generative-ai,large-language-models,llm,n8n,product-management,rag,retrieval-augmented-generation,workflow-automation",2026-03-20T05:49:15Z,2026-03-20,True,AI Agent
1186773886,nthchild2/agentic-software-development-framework,"A drop-in framework for structured, verifiable AI-assisted software development.",https://github.com/nthchild2/agentic-software-development-framework,0,0,,,2026-03-20T01:17:43Z,2026-03-20,True,AI Agent
1186841111,xaddwell/awesome-agentic-memory-safety,,https://github.com/xaddwell/awesome-agentic-memory-safety,0,0,,,2026-03-20T03:32:22Z,2026-03-20,True,AI Agent
1186787736,mschreib28/agentic-self-improving-template,A template for generating a group of self-improving agents,https://github.com/mschreib28/agentic-self-improving-template,0,0,Python,,2026-03-20T01:45:20Z,2026-03-20,True,AI Agent
1186844226,AndyZng-bl/q2q-agentic,,https://github.com/AndyZng-bl/q2q-agentic,0,0,,,2026-03-20T03:39:00Z,2026-03-20,True,AI Agent
