name,stars,collected_at,domain
amitshekhariitbhu/ai-engineering-interview-questions,1639,2026-05-26,RAG
alvinunreal/awesome-opensource-ai,3674,2026-05-26,RAG
NeXra-AI/awesome-ai-image-prompts,2,2026-05-26,RAG
wolfieman/lodestar,1,2026-05-26,RAG
daniella-mv/enterprise-knowledge-assistant,1,2026-05-26,RAG
zy-tjx/Agent-Runtime,1,2026-05-26,RAG
cdgutierrez6/rag-ai-assistant,1,2026-05-26,RAG
YANGwh0408/rag-qa-generator,1,2026-05-26,RAG
buptanswer/mineru,1,2026-05-26,RAG
SamurAIGPT/ai-knowledge-base,1,2026-05-26,RAG
mk-hasan/agentic-ai-overview,1,2026-05-26,AI Agent
yann83/ragcmdr,1,2026-05-26,RAG
msdw/awesome-ai-idea-engine,0,2026-05-26,RAG
Dhyey2901/diabetes-rag,0,2026-05-26,RAG
kjosh2008/ask-my-oracle-database,0,2026-05-26,RAG
KinacAhmett/HukukPusulasi-RAG,0,2026-05-26,RAG
Vedant1202/agentpack,0,2026-05-26,AI Agent
thiagoger/semantic-search-lite,0,2026-05-26,RAG
SynapCores/synapcores-voice-agent,0,2026-05-26,AI Agent
Minifigures/Hack-the-Tech,0,2026-05-26,RAG
nguyentrungtin1709/agentic-rag-ecommerce,0,2026-05-26,AI Agent
emerose/fancychunk,0,2026-05-26,RAG
Avinash-2112/ai-learning-journal,0,2026-05-26,RAG
AKJama/rag,0,2026-05-26,RAG
sampriti-gopisetti/RoleReady,0,2026-05-26,RAG
grassman23gith/athena-nexus,0,2026-05-26,RAG
Haris-Mahmood-21/ai-interview-platform,0,2026-05-26,RAG
Daniel-Cohen-Collazo/johns-hopkins-agentic-ai-portfolio,0,2026-05-26,AI Agent
dahanam/CTF-Challenge-Solving-Assistant,0,2026-05-26,RAG
tmac33/agent-rag-learning,0,2026-05-26,RAG
mameshivaa/x-archive-rag,0,2026-05-26,RAG
kuchris/DocMemory,0,2026-05-26,RAG
koteshbabubommana/rag-context-aware-search-platform,0,2026-05-26,RAG
Novice-ninja/contextschema-py,0,2026-05-26,RAG
Dakshin10/deep-research-agent,0,2026-05-26,RAG
nguyenquoaca-hash/agentic-mesh,0,2026-05-26,AI Agent
ATLAS-DEV78423/Graphify-Updated-Obsidian,0,2026-05-26,RAG
mezanakhtar/n8n-ai-workflow-automation-projects,0,2026-05-26,AI Agent
KandulaSohan21/last-min-exam-revisor,0,2026-05-26,RAG
damarff/rag-chatbot-portfolio,0,2026-05-26,RAG
SeydinaBANE/rag-agent,0,2026-05-26,RAG
nurbolsultanov/resume-matcher,0,2026-05-26,RAG
syed14125/local-rag-research-paper-assistant,0,2026-05-26,RAG
HayesBD/the-wall-companions,0,2026-05-26,RAG
xingyang-yu/cyber-witten,0,2026-05-26,RAG
Adityasr30/rag-based-ai-agent,0,2026-05-26,RAG
